,rain intensity [mm/h]
2018-05-23 12:36:00,0.014187814928428128
2018-05-23 12:36:30,0.0
2018-05-23 12:37:00,0.0
2018-05-23 12:37:30,0.0
2018-05-23 12:38:00,0.0
2018-05-23 12:38:30,0.0
2018-05-23 12:39:00,0.0
2018-05-23 12:39:30,0.0
2018-05-23 12:40:00,0.0
2018-05-23 12:40:30,0.0
2018-05-23 12:41:00,0.0
2018-05-23 12:41:30,0.0
2018-05-23 12:42:00,0.0
2018-05-23 12:42:30,0.0
2018-05-23 12:43:00,0.11575057525712934
2018-05-23 12:43:30,0.0
2018-05-23 12:44:00,0.0
2018-05-23 12:44:30,0.0
2018-05-23 12:45:00,0.0
2018-05-23 12:45:30,0.0
2018-05-23 12:46:00,0.0
2018-05-23 12:46:30,0.0
2018-05-23 12:47:00,0.0
2018-05-23 12:47:30,0.0
2018-05-23 12:48:00,0.0
2018-05-23 12:48:30,0.014187814928428128
2018-05-23 12:49:00,0.0
2018-05-23 12:49:30,0.0
2018-05-23 12:50:00,0.0
2018-05-23 12:50:30,0.0
2018-05-23 12:51:00,0.0
2018-05-23 12:51:30,0.0
2018-05-23 12:52:00,0.0
2018-05-23 12:52:30,0.0
2018-05-23 12:53:00,0.0
2018-05-23 12:53:30,0.0
2018-05-23 12:54:00,0.0
2018-05-23 12:54:30,0.0
2018-05-23 12:55:00,0.05131809912515449
2018-05-23 12:55:30,0.0
2018-05-23 12:56:00,0.0
2018-05-23 12:56:30,0.0
2018-05-23 12:57:00,0.0
2018-05-23 12:57:30,0.0
2018-05-23 12:58:00,59.671683616996425
2018-05-23 12:58:30,66.56576818606895
2018-05-23 12:59:00,59.66353151973315
2018-05-23 12:59:30,61.41453480095953
2018-05-23 13:00:00,57.94043469758762
2018-05-23 13:00:30,61.11509581188964
2018-05-23 13:01:00,55.52701538784979
2018-05-23 13:01:30,68.72307200521878
2018-05-23 13:02:00,72.07989919166282
2018-05-23 13:02:30,72.2397993396383
2018-05-23 13:03:00,61.015712333883386
2018-05-23 13:03:30,57.71298720870913
2018-05-23 13:04:00,55.67398221065045
2018-05-23 13:04:30,55.930225677961744
2018-05-23 13:05:00,65.21458581615137
2018-05-23 13:05:30,64.66307814647331
2018-05-23 13:06:00,70.76377515620962
2018-05-23 13:06:30,71.42414928008219
2018-05-23 13:07:00,60.628869169082975
2018-05-23 13:07:30,59.59322217211549
2018-05-23 13:08:00,59.07923525784243
2018-05-23 13:08:30,56.44239962085514
2018-05-23 13:09:00,55.499469633130175
2018-05-23 13:09:30,65.00686032706163
2018-05-23 13:10:00,68.73693063500416
2018-05-23 13:10:30,59.00762491219153
2018-05-23 13:11:00,61.34370714688012
2018-05-23 13:11:30,52.33396477257119
2018-05-23 13:12:00,61.39383147804305
2018-05-23 13:12:30,70.24372384079074
2018-05-23 13:13:00,58.85036251458026
2018-05-23 13:13:30,57.57085556261492
2018-05-23 13:14:00,48.9983261267591
2018-05-23 13:14:30,66.06548803513324
2018-05-23 13:15:00,66.74977499438701
2018-05-23 13:15:30,61.68714625177236
2018-05-23 13:16:00,58.89326913972778
2018-05-23 13:16:30,54.402277993267894
2018-05-23 13:17:00,92.8911266104679
2018-05-23 13:17:30,88.79192363067584
2018-05-23 13:18:00,85.51873383204877
2018-05-23 13:18:30,82.50928557766586
2018-05-23 13:19:00,82.23456526254202
2018-05-23 13:19:30,67.55282924184299
2018-05-23 13:20:00,62.01894499974558
2018-05-23 13:20:30,57.53103932830313
2018-05-23 13:21:00,57.90135294132378
2018-05-23 13:21:30,72.74521775205531
2018-05-23 13:22:00,74.0828808417602
2018-05-23 13:22:30,67.08103263953635
2018-05-23 13:23:00,64.379804794796
2018-05-23 13:23:30,83.79019332739581
2018-05-23 13:24:00,59.59938496182496
2018-05-23 13:24:30,55.88104734277513
2018-05-23 13:25:00,65.20084844509783
2018-05-23 13:25:30,68.22696889859812
2018-05-23 13:26:00,68.81041180209111
2018-05-23 13:26:30,89.51668625906161
2018-05-23 13:27:00,80.92400323592655
2018-05-23 13:27:30,69.95137501730932
2018-05-23 13:28:00,79.0925330039859
2018-05-23 13:28:30,76.02987265540041
2018-05-23 13:29:00,86.93559347427706
2018-05-23 13:29:30,80.54401346342564
2018-05-23 13:30:00,84.7624919866267
2018-05-23 13:30:30,58.89049347909822
2018-05-23 13:31:00,56.049958418837186
2018-05-23 13:31:30,60.054740812656455
2018-05-23 13:32:00,73.12505824406855
2018-05-23 13:32:30,54.29976048028844
2018-05-23 13:33:00,61.279597898781994
2018-05-23 13:33:30,70.46743484463417
2018-05-23 13:34:00,66.45373848514126
2018-05-23 13:34:30,67.5732665558968
2018-05-23 13:35:00,69.44239417976418
2018-05-23 13:35:30,53.614197747459976
2018-05-23 13:36:00,63.547060432152094
2018-05-23 13:36:30,69.97831125654221
2018-05-23 13:37:00,59.846610469472765
2018-05-23 13:37:30,61.58371603203551
2018-05-23 13:38:00,53.87810054291577
2018-05-23 13:38:30,79.0378382412763
2018-05-23 13:39:00,74.83733995447336
2018-05-23 13:39:30,64.31256437183907
2018-05-23 13:40:00,99.70547560065229
2018-05-23 13:40:30,70.41243869976753
2018-05-23 13:41:00,87.10727552096081
2018-05-23 13:41:30,85.10436756435926
2018-05-23 13:42:00,84.90209189468649
2018-05-23 13:42:30,80.75129890249045
2018-05-23 13:43:00,85.2993297150656
2018-05-23 13:43:30,92.20496002218118
2018-05-23 13:44:00,77.00124872120055
2018-05-23 13:44:30,72.00595664149921
2018-05-23 13:45:00,63.9385159966085
2018-05-23 13:45:30,62.067200634607985
2018-05-23 13:46:00,56.06800343475531
2018-05-23 13:46:30,72.64239493936546
2018-05-23 13:47:00,68.39285232412563
2018-05-23 13:47:30,63.73812547854793
